order_city,date,precipitation_mm,temp_mean_c,weather_code,weather_condition
Santo Domingo,2015-09-10,0.1,27.5,51,Rain
Santo Domingo,2015-09-11,1.3,27.9,53,Rain
Santo Domingo,2015-09-12,9.7,26.1,63,Rain
Santo Domingo,2015-09-13,16.7,24.8,63,Rain
Santo Domingo,2015-09-14,1.0,26.7,51,Rain
Santo Domingo,2015-09-15,0.4,27.1,51,Rain
Santo Domingo,2015-09-16,8.0,25.4,63,Rain
Santo Domingo,2015-09-17,2.2,25.9,53,Rain
Santo Domingo,2015-09-18,0.4,26.6,51,Rain
Santo Domingo,2015-09-19,0.0,27.0,3,Cloudy
Santo Domingo,2015-09-20,0.2,27.1,51,Rain
Santo Domingo,2015-09-21,0.9,26.9,51,Rain
Santo Domingo,2015-09-22,1.3,26.8,53,Rain
Santo Domingo,2015-09-23,1.4,26.6,51,Rain
Santo Domingo,2015-09-24,5.4,26.3,61,Rain
Santo Domingo,2015-09-25,0.2,26.7,51,Rain
Santo Domingo,2015-09-26,0.0,27.4,3,Cloudy
Santo Domingo,2015-09-27,2.3,27.1,51,Rain
Santo Domingo,2015-09-28,1.6,27.2,51,Rain
Santo Domingo,2015-09-29,0.0,27.3,3,Cloudy
Santo Domingo,2015-09-30,0.4,27.1,51,Rain
Santo Domingo,2015-10-01,0.0,27.3,3,Cloudy
Santo Domingo,2015-10-02,0.0,27.7,3,Cloudy
Santo Domingo,2015-10-03,0.0,27.9,3,Cloudy
Santo Domingo,2015-10-04,0.6,28.2,53,Rain
Santo Domingo,2015-10-05,0.0,28.3,3,Cloudy
Santo Domingo,2015-10-06,0.0,28.1,3,Cloudy
Santo Domingo,2015-10-07,0.0,27.6,2,Cloudy
Santo Domingo,2015-10-08,0.3,27.9,51,Rain
Santo Domingo,2015-10-09,6.2,26.3,63,Rain
Santo Domingo,2015-10-10,0.0,26.6,3,Cloudy
Santo Domingo,2015-10-11,1.6,26.8,53,Rain
Santo Domingo,2015-10-12,0.9,27.0,51,Rain
Santo Domingo,2015-10-13,3.2,27.2,53,Rain
Santo Domingo,2015-10-14,2.5,27.1,51,Rain
Santo Domingo,2015-10-15,0.9,27.0,51,Rain
Santo Domingo,2015-10-16,1.2,26.7,51,Rain
Santo Domingo,2015-10-17,1.4,26.8,53,Rain
Santo Domingo,2015-10-18,0.8,27.3,53,Rain
Santo Domingo,2015-10-19,0.4,27.2,51,Rain
Santo Domingo,2015-10-20,1.2,26.4,53,Rain
Santo Domingo,2015-10-21,1.3,26.7,53,Rain
Santo Domingo,2015-10-22,1.3,26.6,53,Rain
Santo Domingo,2015-10-23,0.5,26.5,51,Rain
Santo Domingo,2015-10-24,1.1,26.1,51,Rain
Santo Domingo,2015-10-25,3.5,25.5,61,Rain
Santo Domingo,2015-10-26,2.1,24.8,61,Rain
Santo Domingo,2015-10-27,17.7,24.7,63,Rain
Santo Domingo,2015-10-28,0.0,26.2,1,Clear
Santo Domingo,2015-10-29,1.3,26.5,53,Rain
Santo Domingo,2015-10-30,0.3,26.5,51,Rain
Santo Domingo,2015-10-31,1.8,26.6,53,Rain
Santo Domingo,2015-11-01,5.6,24.4,63,Rain
Santo Domingo,2015-11-02,0.6,25.6,51,Rain
Santo Domingo,2015-11-03,12.4,25.2,63,Rain
Santo Domingo,2015-11-04,3.2,25.8,53,Rain
Santo Domingo,2015-11-05,2.0,25.8,53,Rain
Santo Domingo,2015-11-06,1.0,25.6,53,Rain
Santo Domingo,2015-11-07,6.9,25.0,61,Rain
Santo Domingo,2015-11-08,14.8,24.1,65,Rain
Santo Domingo,2015-11-09,3.0,25.4,53,Rain
Santo Domingo,2015-11-10,3.3,25.3,55,Rain
Santo Domingo,2015-11-11,1.1,25.6,51,Rain
Santo Domingo,2015-11-12,0.6,25.6,51,Rain
Santo Domingo,2015-11-13,0.4,25.6,51,Rain
Santo Domingo,2015-11-14,2.6,25.7,53,Rain
Santo Domingo,2015-11-15,1.3,25.6,53,Rain
Santo Domingo,2015-11-16,4.0,25.2,53,Rain
Santo Domingo,2015-11-17,4.4,24.8,53,Rain
Santo Domingo,2015-11-18,2.2,25.2,53,Rain
Santo Domingo,2015-11-19,2.0,24.7,51,Rain
Santo Domingo,2015-11-20,1.0,24.5,51,Rain
Santo Domingo,2015-11-21,0.0,23.7,3,Cloudy
Santo Domingo,2015-11-22,0.3,23.8,51,Rain
Santo Domingo,2015-11-23,0.0,24.8,1,Clear
Santo Domingo,2015-11-24,0.0,24.9,3,Cloudy
Santo Domingo,2015-11-25,0.0,25.1,3,Cloudy
Santo Domingo,2015-11-26,0.8,24.7,51,Rain
Santo Domingo,2015-11-27,3.3,24.5,61,Rain
Santo Domingo,2015-11-28,0.9,23.6,51,Rain
Santo Domingo,2015-11-29,7.4,23.4,61,Rain
Santo Domingo,2015-11-30,2.9,23.6,51,Rain
Santo Domingo,2015-12-01,1.9,24.9,61,Rain
Santo Domingo,2015-12-02,0.0,25.5,3,Cloudy
Santo Domingo,2015-12-03,1.5,25.3,51,Rain
Santo Domingo,2015-12-04,0.3,25.3,51,Rain
Santo Domingo,2015-12-05,1.3,24.8,53,Rain
Santo Domingo,2015-12-06,2.3,24.8,53,Rain
Santo Domingo,2015-12-07,2.9,24.3,51,Rain
Santo Domingo,2015-12-08,0.0,24.6,1,Clear
Santo Domingo,2015-12-09,2.0,24.8,51,Rain
Santo Domingo,2015-12-10,1.5,25.0,51,Rain
Santo Domingo,2015-12-11,2.4,24.9,51,Rain
Santo Domingo,2015-12-12,0.0,24.5,3,Cloudy
Santo Domingo,2015-12-13,0.3,24.4,51,Rain
Santo Domingo,2015-12-14,0.8,24.3,51,Rain
Santo Domingo,2015-12-15,0.8,24.3,51,Rain
Santo Domingo,2015-12-16,1.8,24.0,55,Rain
Santo Domingo,2015-12-17,8.3,23.7,53,Rain
Santo Domingo,2015-12-18,1.2,24.0,53,Rain
Santo Domingo,2015-12-19,0.0,24.1,3,Cloudy
Santo Domingo,2015-12-20,3.9,23.7,53,Rain
Santo Domingo,2015-12-21,1.5,24.1,51,Rain
Santo Domingo,2015-12-22,0.5,24.6,51,Rain
Santo Domingo,2015-12-23,0.5,24.8,51,Rain
Santo Domingo,2015-12-24,0.3,25.1,51,Rain
Santo Domingo,2015-12-25,1.8,24.9,51,Rain
Santo Domingo,2015-12-26,1.2,24.7,51,Rain
Santo Domingo,2015-12-27,2.5,24.7,53,Rain
Santo Domingo,2015-12-28,1.3,24.5,51,Rain
Santo Domingo,2015-12-29,1.5,24.6,51,Rain
Santo Domingo,2015-12-30,1.5,24.8,51,Rain
Santo Domingo,2015-12-31,1.9,24.3,51,Rain
Santo Domingo,2016-01-01,3.0,24.1,53,Rain
Santo Domingo,2016-01-02,0.5,23.8,51,Rain
Santo Domingo,2016-01-03,1.4,23.5,51,Rain
Santo Domingo,2016-01-04,0.6,23.2,51,Rain
Santo Domingo,2016-01-05,0.8,23.9,51,Rain
Santo Domingo,2016-01-06,0.3,23.5,51,Rain
Santo Domingo,2016-01-07,0.9,24.2,51,Rain
Santo Domingo,2016-01-08,0.2,24.3,51,Rain
Santo Domingo,2016-01-09,0.0,24.7,1,Clear
Santo Domingo,2016-01-10,0.0,24.2,0,Clear
Santo Domingo,2016-01-11,0.0,23.9,0,Clear
Santo Domingo,2016-01-12,0.0,24.2,3,Cloudy
Santo Domingo,2016-01-13,0.6,24.2,51,Rain
Santo Domingo,2016-01-14,0.1,24.2,51,Rain
Santo Domingo,2016-01-15,0.0,24.1,3,Cloudy
Santo Domingo,2016-01-16,0.0,24.4,3,Cloudy
Santo Domingo,2016-01-17,1.2,24.3,51,Rain
Santo Domingo,2016-01-18,0.0,24.3,2,Cloudy
Santo Domingo,2016-01-19,0.0,24.4,0,Clear
Santo Domingo,2016-01-20,0.0,24.4,3,Cloudy
Santo Domingo,2016-01-21,1.4,24.1,53,Rain
Santo Domingo,2016-01-22,0.8,24.1,51,Rain
Santo Domingo,2016-01-23,1.1,24.6,51,Rain
Santo Domingo,2016-01-24,0.7,24.6,51,Rain
Santo Domingo,2016-01-25,0.4,23.4,51,Rain
Santo Domingo,2016-01-26,3.1,23.9,53,Rain
Santo Domingo,2016-01-27,2.9,23.8,53,Rain
Santo Domingo,2016-01-28,3.5,24.3,53,Rain
Santo Domingo,2016-01-29,1.1,24.7,53,Rain
Santo Domingo,2016-01-30,0.7,24.0,51,Rain
Santo Domingo,2016-01-31,0.0,24.5,3,Cloudy
Santo Domingo,2016-02-01,1.0,23.9,51,Rain
Santo Domingo,2016-02-02,0.3,24.1,51,Rain
Santo Domingo,2016-02-03,0.8,24.4,51,Rain
Santo Domingo,2016-02-04,1.4,23.4,51,Rain
Santo Domingo,2016-02-05,0.0,23.7,1,Clear
Santo Domingo,2016-02-06,1.0,23.5,51,Rain
Santo Domingo,2016-02-07,1.3,23.8,53,Rain
Santo Domingo,2016-02-08,0.3,25.0,51,Rain
Santo Domingo,2016-02-09,0.4,24.6,51,Rain
Santo Domingo,2016-02-10,0.0,24.9,3,Cloudy
Santo Domingo,2016-02-11,2.5,24.3,53,Rain
Santo Domingo,2016-02-12,0.6,24.3,51,Rain
Santo Domingo,2016-02-13,0.0,24.3,2,Cloudy
Santo Domingo,2016-02-14,0.9,23.9,51,Rain
Santo Domingo,2016-02-15,2.9,23.7,53,Rain
Santo Domingo,2016-02-16,4.6,24.2,53,Rain
Santo Domingo,2016-02-17,2.2,24.2,53,Rain
Santo Domingo,2016-02-18,1.3,24.9,51,Rain
Santo Domingo,2016-02-19,0.3,24.2,51,Rain
Santo Domingo,2016-02-20,0.0,23.7,3,Cloudy
Santo Domingo,2016-02-21,0.0,23.3,3,Cloudy
Santo Domingo,2016-02-22,0.1,24.0,51,Rain
Santo Domingo,2016-02-23,0.2,24.3,51,Rain
Santo Domingo,2016-02-24,1.9,24.1,53,Rain
Santo Domingo,2016-02-25,0.0,24.7,2,Cloudy
Santo Domingo,2016-02-26,0.1,24.5,51,Rain
Santo Domingo,2016-02-27,1.4,24.5,51,Rain
Santo Domingo,2016-02-28,0.0,24.9,2,Cloudy
Santo Domingo,2016-02-29,0.0,25.1,2,Cloudy
Santo Domingo,2016-03-01,0.8,24.8,51,Rain
Santo Domingo,2016-03-02,0.2,25.4,51,Rain
Santo Domingo,2016-03-03,0.6,25.3,51,Rain
Santo Domingo,2016-03-04,0.5,24.9,51,Rain
Santo Domingo,2016-03-05,1.6,25.0,51,Rain
Santo Domingo,2016-03-06,2.4,25.3,55,Rain
Santo Domingo,2016-03-07,8.0,24.4,61,Rain
Santo Domingo,2016-03-08,0.0,23.7,1,Clear
Santo Domingo,2016-03-09,0.0,23.1,3,Cloudy
Santo Domingo,2016-03-10,0.2,23.4,51,Rain
Santo Domingo,2016-03-11,0.0,24.2,3,Cloudy
Santo Domingo,2016-03-12,0.0,24.5,3,Cloudy
Santo Domingo,2016-03-13,0.8,24.9,51,Rain
Santo Domingo,2016-03-14,0.7,25.2,51,Rain
Santo Domingo,2016-03-15,6.8,24.2,55,Rain
Santo Domingo,2016-03-16,1.1,24.8,51,Rain
Santo Domingo,2016-03-17,0.0,25.5,2,Cloudy
Santo Domingo,2016-03-18,0.0,24.7,2,Cloudy
Santo Domingo,2016-03-19,0.0,24.7,1,Clear
Santo Domingo,2016-03-20,3.4,24.7,53,Rain
Santo Domingo,2016-03-21,0.7,25.4,51,Rain
Santo Domingo,2016-03-22,0.7,25.5,51,Rain
Santo Domingo,2016-03-23,0.2,25.4,51,Rain
Santo Domingo,2016-03-24,1.1,25.5,51,Rain
Santo Domingo,2016-03-25,1.2,25.6,51,Rain
Santo Domingo,2016-03-26,1.2,25.8,51,Rain
Santo Domingo,2016-03-27,2.5,25.6,53,Rain
Santo Domingo,2016-03-28,0.4,25.5,51,Rain
Santo Domingo,2016-03-29,0.3,25.0,51,Rain
Santo Domingo,2016-03-30,0.5,25.1,51,Rain
Santo Domingo,2016-03-31,2.6,25.0,53,Rain
Santo Domingo,2016-04-01,5.8,24.2,55,Rain
Santo Domingo,2016-04-02,0.6,24.9,51,Rain
Santo Domingo,2016-04-03,0.0,25.3,1,Clear
Santo Domingo,2016-04-04,1.5,25.4,51,Rain
Santo Domingo,2016-04-05,0.8,25.7,51,Rain
Santo Domingo,2016-04-06,23.8,25.0,63,Rain
Santo Domingo,2016-04-07,1.1,25.1,53,Rain
Santo Domingo,2016-04-08,0.0,25.6,3,Cloudy
Santo Domingo,2016-04-09,0.3,25.3,51,Rain
Santo Domingo,2016-04-10,0.9,25.4,51,Rain
Santo Domingo,2016-04-11,0.8,25.5,51,Rain
Santo Domingo,2016-04-12,0.3,25.7,51,Rain
Santo Domingo,2016-04-13,0.0,26.2,2,Cloudy
Santo Domingo,2016-04-14,0.2,25.9,51,Rain
Santo Domingo,2016-04-15,1.3,25.6,53,Rain
Santo Domingo,2016-04-16,0.0,25.9,3,Cloudy
Santo Domingo,2016-04-17,1.8,26.1,53,Rain
Santo Domingo,2016-04-18,3.9,25.3,61,Rain
Santo Domingo,2016-04-19,0.0,25.2,3,Cloudy
